index,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,has_zebra
84,50.0,0.025521002497630285,2.2024689460509683,0.4819543991449276,4000,125438.67976580786,216015.08647869946,244444.19251618328,-1.378549,36.814932,1,0.4161211915234349,5.547650988320664,6000,1,16,1
8403,90.0,-0.062087624755223815,1.7502815194543753,0.5374161285271334,2848,122775.54157508553,161066.36180779643,108552.62363275961,-1.3379731167707385,36.81327472317678,1,0.4727484759774202,9.115543011858165,4272,25,9,1
8405,60.0,-0.04644681470927717,1.8090219225514808,0.5321364877880199,2848,125468.04555233268,162897.48113338032,94364.97387743446,-1.3379769316152694,36.81328404388225,1,0.4666530325644821,8.55964992353255,4272,25,9,1
841,35.0,0.0061270399791159,2.268817113394761,0.4571834343372562,3456,123736.14853613135,122972.83500513436,60508.50640107463,-1.347879,36.811986,8,0.396479543758185,11.484169046082421,5184,1,17,0
8422,40.0,-0.0801240551935265,1.6706974381860051,0.5526862261180281,2848,116448.82156147205,161896.68029826926,129779.62723101892,-1.3381057354662504,36.81365627095909,1,0.4877520669893483,5.77510360463908,4272,25,9,1
8444,50.0,-0.05036128005517898,1.895211801278022,0.5024320735218737,2848,109997.30459450158,150293.10951071573,73882.03340160284,-1.338350290343044,36.81440031897928,1,0.4412321874337268,7.809066264373537,4272,25,9,1
8449,70.0,-0.07734110435160281,1.7364628512483415,0.5312915488964778,2848,116710.20874608851,163763.5951131997,106033.16793762642,-1.33840587244999,36.814569990008934,1,0.4689017796670163,6.655209074831302,4272,25,9,1
8461,30.0,-0.0881426168692592,1.5856328362534755,0.5755733956231047,2848,112016.67109433113,161157.01833677615,147944.95849770913,-1.3384967675013266,36.814849381888585,1,0.5084040627407301,6.307862418576628,4272,25,9,1
8473,55.5555555556,-0.09370749012435538,1.6624505925942643,0.5305173197470257,2848,117102.12252014145,178016.0192937703,148837.68998550813,-1.3386088474120807,36.81523517814392,1,0.4698093895041088,6.484154904359701,4272,25,9,1
8474,20.0,-0.09567806785704262,1.6443471000398318,0.530442361214796,2848,113415.03552390613,187839.40237660467,135043.6355462765,-1.3386089210103664,36.815234843245726,1,0.4699345299259944,6.634015608447906,4272,25,9,1
8479,30.0,-0.08519914566641618,1.6319503090041638,0.5625682554152809,2848,119634.4640396552,164467.2603128051,139469.28479139134,-1.3386090480400823,36.815234641169354,1,0.4968247243677384,5.945747278440589,4272,25,9,1
849,60.0,-0.005580957543346976,1.545864471170051,0.6695841984772002,3456,124242.48198605645,133943.05396996142,151346.38736869654,-1.3783450000000002,36.81454,1,0.5820832849964505,11.295142089979315,5184,1,17,1
8500,70.0,-0.10024194093336056,1.6045356253021217,0.5586793811293548,2848,117362.62599619276,184018.0764609825,129615.13093342494,-1.3386093196762772,36.81523455857671,1,0.4948994337438815,7.2357966309022475,4272,25,9,1
8502,66.6666666667,-0.10037942629570644,1.6143024662853334,0.5563055371717897,2848,115463.62803233275,187418.70301653465,133609.50950271302,-1.3386093312992626,36.81523460508701,1,0.4928509857234993,7.190202249648794,4272,25,9,1
8514,44.4444444444,-0.07928277335608318,1.695653482695261,0.5323770366071259,2848,113705.08392645525,171509.80687645826,103751.35444684832,-1.3387229657956234,36.815549727422706,1,0.4700319951438078,7.576089689670625,4272,25,9,1
8517,80.0,-0.08447985577823634,1.6862895462260223,0.5426788154156921,2848,112497.0318299801,171844.72408776474,126551.97942962234,-1.3387231593529725,36.81555174811281,1,0.4794809889466141,6.775323731395067,4272,25,9,1
8521,80.0,-0.029369924989771763,2.065946033012959,0.4734038809085326,2848,109279.22755822453,149581.36206493108,95212.8063596956,-1.3387571253178987,36.81564767282683,1,0.4139941991238223,7.289011739260112,4272,25,9,1
8549,0.0,-0.09549336444461792,1.5235582712354256,0.596060252864743,2848,93162.4155094508,162011.6486491018,148173.0040961878,-1.365318444660614,36.83742644842345,1,0.526906877279558,6.578293837244744,4272,25,10,1
