,,Share Proportion,Standard Deviation,Variance
975,photo_album_56,20.0,7.0710678118654755,50.0
975,photo_album_83,30.0,,
978,photo_album_56,50.0,14.142135623730951,200.0
978,photo_album_83,30.0,,
979,photo_album_56,0.0,7.0710678118654755,50.0
979,photo_album_83,10.0,,
983,photo_album_56,10.0,0.0,0.0
983,photo_album_83,10.0,,
984,photo_album_56,40.0,14.142135623730951,200.0
984,photo_album_83,60.0,,
