GID,Shared,Not Shared,Total,Proportion
8923,5,5,10,50.0
7697,5,5,10,50.0
5443,5,5,10,50.0
818,5,5,10,50.0
7719,5,5,10,50.0
6864,5,5,10,50.0
7720,5,5,10,50.0
7480,5,5,10,50.0
8820,5,5,10,50.0
685,5,5,10,50.0
6835,5,5,10,50.0
8800,5,5,10,50.0
804,5,5,10,50.0
772,5,5,10,50.0
8063,5,5,10,50.0
6441,5,5,10,50.0
5588,5,5,10,50.0
5013,5,5,10,50.0
3341,5,5,10,50.0
4972,5,5,10,50.0
2733,5,5,10,50.0
27,5,5,10,50.0
2690,5,5,10,50.0
2674,5,5,10,50.0
474,5,5,10,50.0
2419,5,5,10,50.0
2385,5,5,10,50.0
226,10,10,20,50.0
2234,5,5,10,50.0
4842,5,5,10,50.0
4852,5,5,10,50.0
4854,5,5,10,50.0
2002,5,5,10,50.0
488,5,5,10,50.0
4885,5,5,10,50.0
1982,5,5,10,50.0
1975,5,5,10,50.0
489,5,5,10,50.0
1928,5,5,10,50.0
1920,9,9,18,50.0
4904,5,5,10,50.0
1819,5,5,10,50.0
4916,5,5,10,50.0
1781,10,10,20,50.0
4934,5,5,10,50.0
160,5,5,10,50.0
159,5,5,10,50.0
1515,5,5,10,50.0
1321,5,5,10,50.0
2777,5,5,10,50.0
2813,5,5,10,50.0
2892,5,5,10,50.0
3323,5,5,10,50.0
357,15,15,30,50.0
3487,5,5,10,50.0
3695,5,5,10,50.0
3468,5,5,10,50.0
373,10,10,20,50.0
3459,5,5,10,50.0
3418,5,5,10,50.0
3803,5,5,10,50.0
3375,15,15,30,50.0
392,10,10,20,50.0
3369,5,5,10,50.0
3358,5,5,10,50.0
398,10,10,20,50.0
3313,5,5,10,50.0
3,5,5,10,50.0
403,15,15,30,50.0
4048,5,5,10,50.0
316,10,10,20,50.0
3157,5,5,10,50.0
3144,5,5,10,50.0
3118,5,5,10,50.0
3116,10,10,20,50.0
311,5,5,10,50.0
3102,5,5,10,50.0
434,5,5,10,50.0
3100,5,5,10,50.0
3060,5,5,10,50.0
306,5,5,10,50.0
130,5,5,10,50.0
2319,5,5,10,50.0
4994,5,5,10,50.0
4980,5,5,10,50.0
1114,5,5,10,50.0
5045,5,5,10,50.0
1236,5,5,10,50.0
5049,5,5,10,50.0
4988,5,5,10,50.0
1262,5,5,10,50.0
1254,5,5,10,50.0
1012,5,5,10,50.0
8343,14,15,29,48.275862068965516
8339,14,15,29,48.275862068965516
531,9,10,19,47.36842105263158
7771,9,10,19,47.36842105263158
83,9,10,19,47.36842105263158
3466,14,16,30,46.666666666666664
966,9,11,20,45.0
3373,9,11,20,45.0
968,9,11,20,45.0
379,9,11,20,45.0
8619,9,11,20,45.0
95,9,11,20,45.0
4932,9,11,20,45.0
5010,9,11,20,45.0
7757,9,11,20,45.0
371,13,16,29,44.827586206896555
515,4,5,9,44.44444444444444
504,4,5,9,44.44444444444444
1794,4,5,9,44.44444444444444
1057,4,5,9,44.44444444444444
3262,8,10,18,44.44444444444444
5669,4,5,9,44.44444444444444
476,4,5,9,44.44444444444444
3196,4,5,9,44.44444444444444
2716,4,5,9,44.44444444444444
1740,4,5,9,44.44444444444444
1519,4,5,9,44.44444444444444
1569,4,5,9,44.44444444444444
